date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:40:02;0.2;0.0;0.2;85.5;0.0;0.0;14.0
2023-10-25;14:40:03;0.5;0.0;0.2;84.8;0.0;0.0;14.5
2023-10-25;14:40:04;0.0;0.0;0.2;92.5;0.0;0.0;7.2
2023-10-25;14:40:05;0.0;0.0;0.2;93.5;0.0;0.0;6.2
2023-10-25;14:40:06;0.2;0.0;1.0;94.5;0.2;0.0;4.0
2023-10-25;14:40:07;0.0;0.0;1.5;90.2;0.0;0.0;8.2
2023-10-25;14:40:08;0.0;0.0;0.2;92.8;0.0;0.0;7.0
2023-10-25;14:40:09;0.0;0.0;0.2;91.0;0.0;0.0;8.8
2023-10-25;14:40:10;0.2;0.0;0.5;94.8;0.0;0.0;4.5
2023-10-25;14:40:11;0.5;0.8;0.8;90.8;0.0;0.0;7.2
2023-10-25;14:40:12;0.0;0.0;0.2;96.5;0.0;0.0;3.2
2023-10-25;14:40:13;0.5;0.0;0.7;96.0;0.0;0.0;2.7
2023-10-25;14:40:14;0.2;0.0;0.0;96.8;0.0;0.0;3.0
2023-10-25;14:40:15;0.5;0.0;0.5;92.8;0.0;0.0;6.2
2023-10-25;14:40:16;0.2;0.0;0.5;95.2;0.5;0.0;3.5
2023-10-25;14:40:17;0.0;0.0;0.2;95.5;0.0;0.0;4.2
2023-10-25;14:40:18;0.0;0.0;0.2;95.8;0.0;0.0;4.0
2023-10-25;14:40:19;0.2;0.0;0.0;94.8;0.0;0.0;5.0
2023-10-25;14:40:20;0.5;0.0;0.2;95.0;0.0;0.0;4.2
2023-10-25;14:40:21;0.0;0.0;0.5;96.8;0.2;0.0;2.5
2023-10-25;14:40:22;0.2;0.0;0.0;96.0;0.0;0.0;3.8
2023-10-25;14:40:23;0.0;0.0;0.5;94.5;0.0;0.0;5.0
2023-10-25;14:40:24;0.0;0.0;0.0;95.8;0.0;0.0;4.2
2023-10-25;14:40:25;0.0;0.0;0.2;95.2;0.0;0.0;4.5
2023-10-25;14:40:26;1.2;0.0;3.5;92.5;0.0;0.0;2.8
2023-10-25;14:40:27;0.5;0.0;0.2;95.8;0.0;0.0;3.5
2023-10-25;14:40:28;0.0;0.0;0.2;96.0;0.0;0.0;3.7
2023-10-25;14:40:29;0.2;0.0;0.5;96.2;0.0;0.0;3.0
2023-10-25;14:40:30;0.2;0.0;0.2;98.0;0.0;0.0;1.5
2023-10-25;14:40:31;0.2;0.0;1.2;95.5;0.0;0.0;3.0
2023-10-25;14:40:32;0.2;0.0;0.2;95.8;0.0;0.0;3.8
